,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
0,12564,Anupam Mittal,Mumbai,angel,2020-05-12,0,0,Mumbai,,IND,angel.co/anupam-mittal,food & beverages
4,10789,e.Bricks Digital,São Paulo,vc,2015-08-21,0,0,São Paulo,,BRA,ebricksdigital.com.br,food & beverages
5,231,Carmel Ventures,Herzeliya,vc,2017-09-27,163,0,Herzeliya,,ISR,carmelventures.com,food & beverages
6,11256,Anand Ladsariya,Mumbai,angel,2016-09-12,0,0,Mumbai,,IND,angel.co/anand-ladsariya,food & beverages
8,25916,Venture Nursery,Mumbai,accelerator,2016-04-11,0,0,Mumbai,,IND,venturenursery.com,food & beverages
9,21635,Wavemaker Partners,Los Angeles,vc,2020-07-15,205,163,Santa Monica,CA,USA,wavemaker.vc,food & beverages
10,4309,Sherry Coutu,Cambridge,angel,2018-06-21,0,0,Cambridge,,GBR,angel.co/scoutu,food & beverages
11,8820,Keith Willey,London,angel,2013-09-24,0,0,London,,GBR,,food & beverages
12,16225,India Quotient,Mumbai,vc,2017-12-14,0,0,Mumbai,,IND,indiaquotient.in,food & beverages
15,1292,Catamount Ventures,Bay Area,vc,2020-05-19,0,0,San Francisco,CA,USA,catamountventures.com,food & beverages
16,2827,NewSchools Venture Fund,Bay Area,vc,2015-09-10,178,158,Oakland,CA,USA,newschools.org,food & beverages
18,8503,Deborah Quazzo,Chicago,angel,2018-10-09,0,0,Chicago,IL,USA,angel.co/deborah-quazzo,food & beverages
21,18017,NTT DoCoMo Ventures,Tokyo,vc,2020-09-02,0,0,Tokyo,,JPN,nttdocomo-v.com,food & beverages
22,12792,Neil Rimer,Geneva,angel,2006-03-01,0,0,Geneva,,CHE,,food & beverages
25,24970,Singapore Angel Network,Middlesex,vc,2018-07-26,0,0,Middlesex,,GBR,sgan.sg,food & beverages
26,53,SV Angel,Bay Area,vc,2020-09-18,815,684,San Francisco,CA,USA,svangel.com,food & beverages
27,2372,Alex Bard,Bay Area,angel,2016-09-27,0,0,San Francisco,CA,USA,angel.co/alexbard,food & beverages
29,14616,Bizdom,Detroit,accelerator,2016-06-01,0,0,Detroit,MI,USA,bizdom.com,food & beverages
35,13505,Y Combinator,Bay Area,accelerator,2020-02-27,2310,1282,Mountain View,CA,USA,ycombinator.com,food & beverages
1,356,Relay Ventures,Bay Area,vc,2018-06-21,0,0,Menlo Park,CA,USA,relayventures.com,food & beverages
3,1956,Francisco Partners,Bay Area,vc,2020-08-25,0,0,San Francisco,CA,USA,franciscopartners.com,food & beverages
7,27,InterWest Partners,Bay Area,vc,2019-11-13,318,200,Menlo Park,CA,USA,interwest.com,food & beverages
8,6343,Almi Invest,Stockholm ,vc,2017-03-20,0,0,Stockholm ,,SWE,almi.se,food & beverages
10,8,SK Telecom Ventures,Bay Area,vc,2015-02-11,0,0,Sunnyvale,CA,USA,sktvc.com,food & beverages
11,527,Social Leverage,Coronado,vc,2020-07-07,0,0,Coronado,CA,USA,socialleveragellc.com,food & beverages
12,7346,Kibo Ventures,Madrid,vc,2020-07-23,0,0,Madrid,,ESP,kiboventures.com,food & beverages
13,16732,Aceleratech,São Paulo,accelerator,,0,0,São Paulo,,BRA,aceleratech.com.br,food & beverages
