,Unnamed: 0,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
0,2,1761,Ascent Venture Partners,Boston,vc,2018-04-12,0,0,Boston,MA,USA,ascentvp.com,food & beverages,42.3602534,-71.0582912
1,3,116,Baseline Ventures,Bay Area,vc,2020-07-20,182,113,San Francisco,CA,USA,baselinev.com,food & beverages,37.7790262,-122.4199061
2,4,1968,Discovery Capital,Vancouver,vc,2019-11-25,0,0,Vancouver,CAN-BC,CAN,discoverycapital.com,food & beverages,49.1566925,-122.7740237
3,6,7877,Portland Seed Fund,Portland,vc,2020-08-04,0,0,Portland,OR,USA,portlandseedfund.com,food & beverages,45.5202471,-122.6741949
4,12,1677,Emerald Technology Ventures ,Zurich,vc,2020-06-24,0,0,Zurich,,SWE,emerald-ventures.com,food & beverages,47.3769,8.5417
5,16,200,Vulcan Capital,Seattle,vc,2020-09-30,151,112,Seattle,WA,USA,capital.vulcan.com,food & beverages,47.6038321,-122.3300624
6,18,17444,Streamlined Ventures,Bay Area,vc,2020-05-07,0,0,San Francisco,CA,USA,streamlinedventures.com,food & beverages,37.7790262,-122.4199061
7,22,18978,Boyu Capital,Hong Kong,vc,2020-07-20,0,0,Hong Kong,,CHN,boyucapital.com,food & beverages,34.3279844,79.1107248
8,23,20699,Deerfield Management Company,New York,vc,2020-07-07,0,0,New York,NY,USA,deerfield.com,food & beverages,40.7127281,-74.0060152
9,24,457,Rose Tech Ventures,New York,vc,2015-10-08,0,0,New York,NY,USA,rose.vc,food & beverages,40.7127281,-74.0060152
10,25,8503,Deborah Quazzo,Chicago,angel,2018-10-09,0,0,Chicago,IL,USA,angel.co/deborah-quazzo,food & beverages,41.8755616,-87.6244212
11,27,21109,Toba Capital,Bay Area,vc,2020-09-03,0,0,San Francisco,CA,USA,tobacapital.com,food & beverages,37.7790262,-122.4199061
12,28,77,Sigma Partners,Bay Area,vc,2018-12-13,276,135,Danville,CA,USA,sigmapartners.com,food & beverages,37.8215929,-121.9999606
13,29,13670,H-FARM Ventures,Roncade,vc,2018-01-24,0,0,Roncade,,ITA,h-farmventures.com,food & beverages,-3.14306,-58.44417
14,31,27,InterWest Partners,Bay Area,vc,2019-11-13,318,200,Menlo Park,CA,USA,interwest.com,food & beverages,37.4519671,-122.1779927
15,32,13505,Y Combinator,Bay Area,accelerator,2020-02-27,2310,1282,Mountain View,CA,USA,ycombinator.com,food & beverages,37.3893889,-122.0832101
16,0,7726,Playfair Capital,London,vc,2020-04-16,0,0,London,,GBR,playfaircapital.com,food & beverages,42.19592,-73.36206
17,1,591,Geoff Entress,Seattle,angel,2016-06-06,0,0,Seattle,WA,USA,angel.co/entress,food & beverages,47.6038321,-122.3300624
18,2,616,Origin Ventures,Chicago,vc,2020-09-24,0,0,Northbrook,IL,USA,originventures.com,food & beverages,42.127531,-87.8318855
19,4,10518,Mike McSherry,Chicago,angel,2012-12-11,0,0,Chicago,IL,USA,,food & beverages,41.8755616,-87.6244212
20,10,15664,TPG Capital,Austin,vc,2020-06-09,191,179,Austin,TX,USA,tpg.com,food & beverages,30.2711286,-97.7436995
21,14,313,T-Venture,Bonn,vc,2019-01-07,0,0,Bonn,,DEU,t-venture.com,food & beverages,50.735851,7.10066
22,15,13598,Deutsche Telekom,Göttingen,strategic,2020-07-28,0,0,Göttingen,,DEU,telekom.de,food & beverages,51.5328328,9.9351811
23,16,16129,Samsung,Tun,strategic,2018-12-14,0,0,Tun,,SWE,samsung.com,food & beverages,58.4268,12.7557
24,18,14286,Rocket Internet,Berlin,strategic,2020-07-16,0,0,Berlin,,DEU,rocket-internet.com,food & beverages,45.7226249,5.0695873
25,20,527,Social Leverage,Coronado,vc,2020-07-07,0,0,Coronado,CA,USA,socialleveragellc.com,food & beverages,32.6915199,-117.1766947
26,21,7555,Mark Friedgan,Chicago,angel,2012-09-11,0,0,Chicago,IL,USA,angel.co/hubrix,food & beverages,41.8755616,-87.6244212
27,22,7733,Trestle Ventures,Charlotte,vc,2012-07-30,0,0,Exton,PA,USA,trestleventures.com,food & beverages,40.0298587,-75.6289776
28,23,10924,Frontline Ventures,Dublin,vc,2020-07-22,0,0,Dublin,,IRL,frontline.vc,food & beverages,53.328274,-6.2768521
29,26,17925,Daniel Recanati,Tel Aviv,angel,2016-04-05,0,0,Tel Aviv,,ISR,,food & beverages,32.0853,34.7818
30,28,17146,Mark Hirschfield,London,angel,2013-11-20,0,0,London,,GBR,,food & beverages,42.19592,-73.36206
31,30,21635,Wavemaker Partners,Los Angeles,vc,2020-07-15,205,163,Santa Monica,CA,USA,wavemaker.vc,food & beverages,34.0194704,-118.4912273
32,31,84,Google Ventures,Bay Area,vc,2020-08-06,612,395,Mountain View,CA,USA,gv.com,food & beverages,37.3893889,-122.0832101
33,32,8572,Jay Baer,Bloomington,angel,2014-11-14,0,0,Bloomington,IN,USA,angel.co/jaybaer,food & beverages,39.1670396,-86.5342881
34,35,212,DFJ Growth,Bay Area,vc,2020-07-21,0,0,Menlo Park,CA,USA,dfjgrowth.com,food & beverages,37.4519671,-122.1779927
35,37,18120,Nextech Invest,Zürich,vc,2020-09-23,0,0,Zürich,,CHE,nextechinvest.com,food & beverages,47.3744489,8.5410422
36,38,6944,StartupChile,Santiago,accelerator,2016-04-29,399,352,Santiago,,CHL,startupchile.org,food & beverages,44.50464,-114.23173
37,40,7694,Huron River Ventures,Detroit,vc,2018-01-09,0,0,Ann Arbor,MI,USA,huronrivervc.com,food & beverages,42.2681569,-83.7312291
38,42,21692,Rubicon Venture Capital,Bay Area,vc,2018-08-27,0,0,San Francisco,CA,USA,rubicon.vc,food & beverages,37.7790262,-122.4199061
39,43,279,Atlas Venture,Boston,vc,2020-09-10,415,236,Cambridge,MA,USA,atlasventure.com,food & beverages,42.3750997,-71.1056157
40,44,3863,Boston Seed Capital,Boston,vc,2020-07-23,0,0,Westwood,MA,USA,bostonseed.com,food & beverages,42.2139873,-71.2244987
41,45,1038,TomorrowVentures,Bay Area,vc,2016-09-29,0,0,Palo Alto,CA,USA,tomorrowvc.com,food & beverages,37.4443293,-122.1598465
42,47,4955,Joanne Wilson,New York,angel,2017-04-12,0,0,New York,NY,USA,angel.co/thegothamgal,food & beverages,40.7127281,-74.0060152
43,48,11042,Sharky Laguana,Bay Area,angel,2012-09-12,0,0,San Francisco,CA,USA,,food & beverages,37.7790262,-122.4199061
44,0,2257,Morningside Group,Shanghai,vc,2020-03-03,165,101,Shanghai,,CHN,morningside.com,food & beverages,35.82194,127.14889
45,2,2120,Point Nine Capital,Berlin,vc,2020-09-07,165,113,Berlin,,DEU,pointninecap.com,food & beverages,45.7226249,5.0695873
46,5,5097,Global Brain Corporation,Tokyo,vc,2020-07-21,0,0,Tokyo,,JPN,globalbrains.co.jp,food & beverages,35.6930518,139.7296485
47,6,7031,Luc Levesque,Ottawa,angel,2018-05-02,0,0,Ottawa,CAN-ON,CAN,,food & beverages,-43.519788,172.6903788
48,11,23509,Matter.VC,Bay Area,vc,2017-02-15,0,0,San Francisco,CA,USA,matter.vc,food & beverages,37.7790262,-122.4199061
49,16,96,General Catalyst Partners,Boston,vc,2020-06-23,530,321,Cambridge,MA,USA,generalcatalyst.com,food & beverages,42.3750997,-71.1056157
50,18,2101,QiMing Venture Partners,Shanghai,vc,2020-09-10,0,0,Shanghai,,CHN,qimingventures.com,food & beverages,35.82194,127.14889
51,19,10138,Samurai Incubate,Tokyo,vc,2020-07-01,0,0,Tokyo,,JPN,samurai-incubate.asia,food & beverages,35.6930518,139.7296485
52,21,1019,Target Partners,Munich,vc,2018-12-10,0,0,Munich,,DEU,targetpartners.de,food & beverages,7.0409194,125.504605
53,24,4188,Investinor,Trondheim ,vc,2018-10-16,0,0,Trondheim ,,NOR,en.investinor.no,food & beverages,63.4189705,10.3791166
54,25,325,Esther Dyson,New York,angel,2019-11-13,0,0,New York,NY,USA,angel.co/esther-dyson,food & beverages,40.7127281,-74.0060152
55,26,24475,Glenn Elliott,London,angel,2014-11-04,0,0,London,,GBR,,food & beverages,42.19592,-73.36206
56,28,337,Sofinnova Ventures,Bay Area,vc,2019-12-17,203,132,Menlo Park,CA,USA,sofinnova.com,food & beverages,37.4519671,-122.1779927
57,31,135,Felicis Ventures,Bay Area,vc,2020-02-04,388,248,Palo Alto,CA,USA,felicis.com,food & beverages,37.4443293,-122.1598465
58,32,2409,Chamath Palihapitiya,Bay Area,angel,2015-12-03,0,0,Palo Alto,CA,USA,angel.co/chamath-palihapitiya,food & beverages,37.4443293,-122.1598465
59,34,1343,Keith Rabois,Bay Area,angel,2020-05-09,0,0,San Francisco,CA,USA,angel.co/rabois,food & beverages,37.7790262,-122.4199061
60,35,3813,Start Fund,Bay Area,vc,2014-06-24,0,0,San Francisco,CA,USA,startfund.nl,food & beverages,37.7790262,-122.4199061
61,36,6901,Romulus Capital,Boston,vc,2020-07-07,0,0,Cambridge,MA,USA,romuluscap.com,food & beverages,42.3750997,-71.1056157
62,37,8320,Justin Kan,Bay Area,angel,2018-08-22,0,0,San Francisco,CA,USA,angel.co/justinkan,food & beverages,37.7790262,-122.4199061
